 
河北央视频道,#genre#
CCTV央视台球,http://27.24.225.35:8888/udp/239.69.1.98:10224

河南央视频道,#genre#
CCTV1,http://1.192.40.23:8888/udp/239.16.10.1:2000
CCTV1,http://171.8.168.31:8800/udp/239.16.10.1:2000
CCTV1,http://1.196.154.235:2000/udp/239.16.10.1:2000
CCTV2,http://171.8.168.31:8800/udp/239.16.10.127:2000
CCTV2,http://1.192.40.23:8888/udp/239.16.10.127:2000
CCTV2,http://1.196.154.235:2000/udp/239.16.10.127:2000
CCTV3,http://1.192.40.23:8888/udp/239.16.10.2:2000
CCTV3,http://171.8.168.31:8800/udp/239.16.10.2:2000
CCTV3,http://1.196.154.235:2000/udp/239.16.10.2:2000
CCTV4,http://1.196.154.235:2000/udp/239.16.10.128:2000
CCTV4,http://1.192.40.23:8888/udp/239.16.10.128:2000
CCTV4,http://171.8.168.31:8800/udp/239.16.10.128:2000
CCTV5,http://1.196.154.235:2000/udp/239.16.10.132:2000
CCTV5,http://171.8.168.31:8800/udp/239.16.10.132:2000
CCTV5,http://1.192.40.23:8888/udp/239.16.10.132:2000
CCTV5+,http://1.196.154.235:2000/udp/239.16.10.3:2000
CCTV5+,http://171.8.168.31:8800/udp/239.16.10.3:2000
CCTV5+,http://1.192.40.23:8888/udp/239.16.10.3:2000
CCTV6,http://171.8.168.31:8800/udp/239.16.10.101:2000
CCTV6,http://1.192.40.23:8888/udp/239.16.10.101:2000
CCTV6,http://1.196.154.235:2000/udp/239.16.10.101:2000
CCTV7,http://1.192.40.23:8888/udp/239.16.10.130:2000
CCTV7,http://171.8.168.31:8800/udp/239.16.10.130:2000
CCTV7,http://1.196.154.235:2000/udp/239.16.10.130:2000
CCTV8,http://171.8.168.31:8800/udp/239.16.10.102:2000
CCTV8,http://1.196.154.235:2000/udp/239.16.10.102:2000
CCTV8,http://1.192.40.23:8888/udp/239.16.10.102:2000
CCTV9,http://1.192.40.23:8888/udp/239.16.10.103:2000
CCTV9,http://1.196.154.235:2000/udp/239.16.10.103:2000
CCTV9,http://171.8.168.31:8800/udp/239.16.10.103:2000
CCTV10,http://1.192.40.23:8888/udp/239.16.10.108:2000
CCTV10,http://1.196.154.235:2000/udp/239.16.10.108:2000
CCTV10,http://171.8.168.31:8800/udp/239.16.10.108:2000
CCTV11,http://1.192.40.23:8888/udp/239.16.10.109:2000
CCTV11,http://171.8.168.31:8800/udp/239.16.10.109:2000
CCTV11,http://1.196.154.235:2000/udp/239.16.10.109:2000
CCTV12,http://1.196.154.235:2000/udp/239.16.10.110:2000
CCTV12,http://171.8.168.31:8800/udp/239.16.10.110:2000
CCTV12,http://1.192.40.23:8888/udp/239.16.10.110:2000
CCTV13,http://1.192.40.23:8888/udp/239.16.10.111:2000
CCTV13,http://1.196.154.235:2000/udp/239.16.10.111:2000
CCTV13,http://171.8.168.31:8800/udp/239.16.10.111:2000
CCTV14,http://1.192.40.23:8888/udp/239.16.10.112:2000
CCTV14,http://171.8.168.31:8800/udp/239.16.10.112:2000
CCTV14,http://1.196.154.235:2000/udp/239.16.10.112:2000
CCTV15,http://1.196.154.235:2000/udp/239.16.10.113:2000
CCTV15,http://171.8.168.31:8800/udp/239.16.10.113:2000
CCTV15,http://1.192.40.23:8888/udp/239.16.10.113:2000
CCTV17,http://1.196.154.235:2000/udp/239.16.10.129:2000
CCTV17,http://171.8.168.31:8800/udp/239.16.10.129:2000
CCTV17,http://1.192.40.23:8888/udp/239.16.10.129:2000
CETV1,http://1.196.154.235:2000/udp/239.16.10.12:2000
CETV1,http://1.192.40.23:8888/udp/239.16.10.12:2000
CETV1,http://171.8.168.31:8800/udp/239.16.10.12:2000

河南卫视频道,#genre#
重庆卫视,http://171.8.168.31:8800/udp/239.16.10.13:2000
重庆卫视,http://1.196.154.235:2000/udp/239.16.10.13:2000
重庆卫视,http://1.192.40.23:8888/udp/239.16.10.13:2000
江苏卫视,http://171.8.168.31:8800/udp/239.16.10.8:2000
江苏卫视,http://1.196.154.235:2000/udp/239.16.10.8:2000
江苏卫视,http://1.192.40.23:8888/udp/239.16.10.8:2000
浙江卫视,http://171.8.168.31:8800/udp/239.16.10.5:2000
浙江卫视,http://1.196.154.235:2000/udp/239.16.10.5:2000
浙江卫视,http://1.192.40.23:8888/udp/239.16.10.5:2000
东方卫视,http://1.192.40.23:8888/udp/239.16.10.7:2000
东方卫视,http://171.8.168.31:8800/udp/239.16.10.7:2000
东方卫视,http://1.196.154.235:2000/udp/239.16.10.7:2000
深圳卫视,http://1.192.40.23:8888/udp/239.16.10.11:2000
深圳卫视,http://1.196.154.235:2000/udp/239.16.10.11:2000
深圳卫视,http://171.8.168.31:8800/udp/239.16.10.11:2000
北京卫视,http://1.196.154.235:2000/udp/239.16.10.10:2000
北京卫视,http://1.192.40.23:8888/udp/239.16.10.10:2000
