📡辽宁地方,#genre#
辽宁影视剧,http://218.24.193.146:808/rtp/232.0.0.25:1234
辽宁体育,http://218.24.193.146:808/rtp/232.0.0.164:1234
辽宁生活,http://218.24.193.146:808/rtp/232.0.0.150:1234
辽宁教育青少,http://218.24.193.146:808/rtp/232.0.0.241:1234
辽宁北方,http://218.24.193.146:808/rtp/232.0.0.151:1234
辽宁宜佳购物,http://218.24.193.146:808/rtp/232.0.0.30:1234
辽宁公共,http://218.24.193.146:808/rtp/232.0.0.168:1234
辽宁经济,http://218.24.193.146:808/rtp/232.0.0.156:1234

辽宁体育,http://59.47.118.242:801/hls/117/index.m3u8

辽宁北方,http://59.47.118.242:801/hls/120/index.m3u8

辽宁影视,http://59.47.118.242:801/hls/116/index.m3u8

辽宁教育,http://59.47.118.242:801/hls/119/index.m3u8

辽宁经济,http://59.47.118.242:801/hls/121/index.m3u8

辽宁都市,http://59.47.118.242:801/hls/115/index.m3u8

辽宁体育,http://59.47.118.242:801/hls/117/index.m3u8

辽宁北方,http://59.47.118.242:801/hls/120/index.m3u8

辽宁影视,http://59.47.118.242:801/hls/116/index.m3u8

辽宁教育,http://59.47.118.242:801/hls/119/index.m3u8

辽宁经济,http://59.47.118.242:801/hls/121/index.m3u8

