央视频道,#genre#
CCTV-1,http://180.188.45.80:1665/migu.php?id=cctv1
CCTV-2,http://180.188.45.80:1665/migu.php?id=cctv2
CCTV-3,http://180.188.45.80:1665/migu.php?id=cctv3
CCTV-4,http://180.188.45.80:1665/migu.php?id=cctv4
CCTV-5,http://180.188.45.80:1665/migu.php?id=cctv5
CCTV-5+,http://180.188.45.80:1665/migu.php?id=cctv5p
CCTV-6,http://180.188.45.80:1665/migu.php?id=cctv6
CCTV-7,http://180.188.45.80:1665/migu.php?id=cctv7
CCTV-8,http://180.188.45.80:1665/migu.php?id=cctv8
CCTV-9,http://180.188.45.80:1665/migu.php?id=cctv9
CCTV-10,http://180.188.45.80:1665/migu.php?id=cctv10
CCTV-11,http://180.188.45.80:1665/migu.php?id=cctv11
CCTV-12,http://180.188.45.80:1665/migu.php?id=cctv12
CCTV-13,http://180.188.45.80:1665/migu.php?id=cctv13
CCTV-14,http://180.188.45.80:1665/migu.php?id=cctv14
CCTV-15,http://180.188.45.80:1665/migu.php?id=cctv15
CCTV-16,http://61.163.58.195:35338/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-17,http://180.188.45.80:1665/migu.php?id=cctv17
CCTV1综合,http://117.72.68.25:9930/migu.php?id=cctv1
CCTV2财经,http://117.72.68.25:9930/migu.php?id=cctv2
CCTV3综艺,http://117.72.68.25:9930/migu.php?id=cctv3
CCTV4中文国际,http://117.72.68.25:9930/migu.php?id=cctv4
CCTV4美洲,http://117.72.68.25:9930/migu.php?id=cctv4a
CCTV4欧洲,http://117.72.68.25:9930/migu.php?id=cctv4o
CCTV5体育,http://117.72.68.25:9930/migu.php?id=cctv5
CCTV5+体育赛事,http://117.72.68.25:9930/migu.php?id=cctv5p
CCTV6电影,http://117.72.68.25:9930/migu.php?id=cctv6
CCTV7国防军事,http://117.72.68.25:9930/migu.php?id=cctv7
CCTV8电视剧,http://117.72.68.25:9930/migu.php?id=cctv8
CCTV9纪录,http://117.72.68.25:9930/migu.php?id=cctv9
CCTV10科教,http://117.72.68.25:9930/migu.php?id=cctv10
CCTV11戏曲,http://117.72.68.25:9930/migu.php?id=cctv11
CCTV12社会与法,http://117.72.68.25:9930/migu.php?id=cctv12
CCTV13新闻,http://117.72.68.25:9930/migu.php?id=cctv13
CCTV14少儿,http://117.72.68.25:9930/migu.php?id=cctv14
CCTV15音乐,http://117.72.68.25:9930/migu.php?id=cctv15
CCTV17农业农村,http://117.72.68.25:9930/migu.php?id=cctv17
CCTV发现之旅,http://117.72.68.25:9930/migu.php?id=fxzl
CCTV老故事,http://117.72.68.25:9930/migu.php?id=lgs
CCTV中学生,http://117.72.68.25:9930/migu.php?id=zxs
CGTN,http://117.72.68.25:9930/migu.php?id=cgtn
CGTN纪录,http://117.72.68.25:9930/migu.php?id=cgtnjl
CCTV西班牙语,http://117.72.68.25:9930/migu.php?id=cgtne
CCTV法语,http://117.72.68.25:9930/migu.php?id=cgtnf
CCTV阿拉伯语,http://117.72.68.25:9930/migu.php?id=cgtna
CCTV俄语,http://117.72.68.25:9930/migu.php?id=cgtnr
卫视频道,#genre#
东方卫视,http://180.188.45.80:1665/migu.php?id=dfws
吉林卫视,http://180.188.45.80:1665/migu.php?id=jlws
青海卫视,http://180.188.45.80:1665/migu.php?id=qhws
陕西卫视,http://180.188.45.80:1665/migu.php?id=sxws
湖北卫视,http://180.188.45.80:1665/migu.php?id=hubws
江西卫视,http://180.188.45.80:1665/migu.php?id=jxws
江苏卫视,http://180.188.45.80:1665/migu.php?id=jsws
广东卫视,http://180.188.45.80:1665/migu.php?id=gdws
海南卫视,http://180.188.45.80:1665/migu.php?id=hinws
东方卫视,http://117.72.68.25:9930/migu.php?id=dfws
湖南卫视x,http://117.72.68.25:9930/migu.php?id=hunws
江西卫视,http://117.72.68.25:9930/migu.php?id=jxws
江苏卫视,http://117.72.68.25:9930/migu.php?id=jsws
湖北卫视,http://117.72.68.25:9930/migu.php?id=hubws
重庆卫视,http://117.72.68.25:9930/migu.php?id=cqws
