央视,#genre#
嘉定,http://222.64.10.165:8701/udp/239.45.3.185:5140
游戏风云,http://222.64.10.165:8701/udp/233.18.204.44:5140
生活时尚,http://222.64.10.165:8701/udp/233.18.204.45:5140
动漫秀场,http://222.64.10.165:8701/udp/233.18.204.46:5140
乐游,http://222.64.10.165:8701/udp/233.18.204.47:5140
都市剧场,http://222.64.10.165:8701/udp/233.18.204.48:5140
法治天地,http://222.64.10.165:8701/udp/233.18.204.49:5140
哈哈炫动,http://222.64.10.165:8701/udp/233.18.204.54:5140
金色学堂,http://222.64.10.165:8701/udp/233.18.204.66:5140
欢笑剧场4K,http://222.64.10.165:8701/udp/233.18.204.205:5140
家庭理财,http://222.64.10.165:8701/udp/233.18.204.157:5140













百事通,#genre#
BesTV影院4K,http://222.64.10.165:8701/udp/239.45.3.107:5140 
BesTV影院4K,http://222.64.10.165:8701/udp/239.45.1.9:5140
BesTV动漫4K,http://222.64.10.165:8701/udp/239.45.1.1:5140
BesTV动漫4K,http://222.64.10.165:8701/udp/239.45.1.11:5140
BesTV纪实4K,http://222.64.10.165:8701/udp/239.45.1.10:5140 
