China=大陸_,#genre#
天津衛視 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/8bcb70b4305ee6c0a255255635a19ad6/master.m3u8
北京衛視 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/61c85f379d82da0a55517b8b452a5c76/master.m3u8
深圳衛視 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/1a0e63d73ea960e846edbc8ef287d22b/master.m3u8
湖南衛視 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/0ace182fa988cb87954a1ad88b9ec094/master.m3u8
浙江衛視 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/021cdb88a0938f57a126d463c2829092/master.m3u8
東方衛視 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/c6a34acd6bb596a699ca879f62becf27/master.m3u8
江蘇衛視 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/1f84745ffe36e0d961ef75014a7db4f5/master.m3u8
廣東衛視 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/4fc4fb445c5a35bede6e412de41f9b71/master.m3u8
新視覺HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/2d182b4f100fece93b01cd89c28711af/master.m3u8
魅力足球 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/f05f33e57ddf626f9dfd72b236056d0b/master.m3u8
五星體育 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/b402f578a707b9fb83363a0f154b5ad2/master.m3u8
廣東體育 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/37716cb0c972e978403e3223910c11bb/master.m3u8
CHC家庭影院,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/e6a43402902c0e3ecc8729879c0da8e5/master.m3u8
CHC動作電影,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/27578fad5d51031ad187101f6a1a3613/master.m3u8
