✴️内网央卫✴️,#genre#
江门侨乡生活,http://192.168.3.1:6534/rtp/239.10.0.139:1025
江门综合,http://192.168.3.1:6534/rtp/239.10.0.219:1025

✴️内网数码✴️,#genre#
CHC影迷电影,http://192.168.3.1:6534/rtp/239.11.0.129:1025
第一剧场,http://192.168.3.1:6534/rtp/239.11.0.67:1025
怀旧剧场,http://192.168.3.1:6534/rtp/239.11.0.64:1025
风云剧场,http://192.168.3.1:6534/rtp/239.11.0.65:1025
兵器科技,http://192.168.3.1:6534/rtp/239.11.0.57:1025
电视指南,http://192.168.3.1:6534/rtp/239.11.0.58:1025
风云足球,http://192.168.3.1:6534/rtp/239.11.0.59:1025
央视台球,http://192.168.3.1:6534/rtp/239.11.0.60:1025
高尔夫网球,http://192.168.3.1:6534/rtp/239.11.0.61:1025
女性时尚,http://192.168.3.1:6534/rtp/239.11.0.62:1025
世界地理,http://192.168.3.1:6534/rtp/239.11.0.63:1025
央视文化精品,http://192.168.3.1:6534/rtp/239.11.0.66:1025
风云音乐,http://192.168.3.1:6534/rtp/239.11.0.68:1025
睛彩竞技,http://192.168.3.1:6534/rtp/239.11.0.183:1025
睛彩广场舞,http://192.168.3.1:6534/rtp/239.11.0.184:1025
求索记录,http://192.168.3.1:6534/rtp/239.11.0.128:1025
纪实人文,http://192.168.3.1:6534/rtp/239.10.0.78:1025
金鹰纪实,http://192.168.3.1:6534/rtp/239.10.0.206:1025
金鹰卡通,http://192.168.3.1:6534/rtp/239.11.0.125:1025
快乐垂钓,http://192.168.3.1:6534/rtp/239.11.0.131:1025
茶频道,http://192.168.3.1:6534/rtp/239.11.0.130:1025
早期教育,http://192.168.3.1:6534/rtp/239.11.0.100:1025
CETV1,http://192.168.3.1:6534/rtp/239.10.0.223:1025
CETV2,http://192.168.3.1:6534/rtp/239.11.0.35:1025
CETV4,http://192.168.3.1:6534/rtp/239.11.0.36:1025
中国交通,http://192.168.3.1:6534/rtp/239.10.0.72:1025
咪咕体育,http://192.168.3.1:6534/rtp/239.11.0.3:1025
IPTV谍战剧场,http://192.168.3.1:6534/rtp/239.10.0.8:1025
IPTV相声小品,http://192.168.3.1:6534/rtp/239.10.0.9:1025
IPTV野外,http://192.168.3.1:6534/rtp/239.10.0.10:1025
IPTV法治,http://192.168.3.1:6534/rtp/239.10.0.11:1025
爱电影,http://192.168.3.1:6534/rtp/239.10.0.12:1025
经典电影,http://192.168.3.1:6534/rtp/239.10.0.13:1025
爱大剧,http://192.168.3.1:6534/rtp/239.10.0.14:1025
热播剧场,http://192.168.3.1:6534/rtp/239.10.0.15:1025
爱综艺,http://192.168.3.1:6534/rtp/239.10.0.16:1025
爱体育,http://192.168.3.1:6534/rtp/239.10.0.17:1025
爱体育,http://192.168.3.1:6534/rtp/239.10.0.218:1025
少儿动画,http://192.168.3.1:6534/rtp/239.10.0.18:1025
魅力时尚,http://192.168.3.1:6534/rtp/239.10.0.19:1025
收视指南,http://192.168.3.1:6534/rtp/239.10.0.20:1025
汽摩,http://192.168.3.1:6534/rtp/239.10.0.232:1025
靓妆,http://192.168.3.1:6534/rtp/239.10.0.25:1025
书画,http://192.168.3.1:6534/rtp/239.11.0.174:1025
老故事,http://192.168.3.1:6534/rtp/239.10.0.33:1025
中学生,http://192.168.3.1:6534/rtp/239.11.0.173:1025
国学频道,http://192.168.3.1:6534/rtp/239.10.0.38:1025
卡酷动画,http://192.168.3.1:6534/rtp/239.10.0.172:1025
炫动卡通,http://192.168.3.1:6534/rtp/239.10.0.174:1025
